n, Tempo Iterativo, Tempo Recursivo, n!
0, 0.000004, 0.000005, 1
1, 0.000005, 0.000004, 1
2, 0.000003, 0.000004, 2
3, 0.000004, 0.000005, 6
4, 0.000004, 0.000004, 24
5, 0.000003, 0.000003, 120
6, 0.000003, 0.000004, 720
7, 0.000003, 0.000003, 5040
8, 0.000004, 0.000004, 40320
9, 0.000003, 0.000004, 362880
10, 0.000004, 0.000003, 3628800
11, 0.000003, 0.000004, 39916800
12, 0.000004, 0.000003, 479001600
13, 0.000004, 0.000004, 6227020800
14, 0.000005, 0.000003, 87178291200
15, 0.000004, 0.000003, 1307674368000
16, 0.000004, 0.000004, 20922789888000
17, 0.000004, 0.000004, 355687428096000
18, 0.000003, 0.000004, 6402373705728000
19, 0.000003, 0.000004, 121645100408832000
20, 0.000004, 0.000003, 2432902008176640000
