n, Tempo Iterativo, Tempo Recursivo, f(n)
1, 0.000, 0.000, 1
2, 0.000, 0.000, 1
3, 0.000, 0.000, 2
4, 0.000, 0.000, 3
5, 0.000, 0.000, 5
6, 0.000, 0.000, 8
7, 0.000, 0.000, 13
8, 0.000, 0.000, 21
9, 0.000, 0.000, 34
10, 0.000, 0.000, 55
11, 0.000, 0.000, 89
12, 0.000, 0.000, 144
13, 0.000, 0.000, 233
14, 0.000, 0.000, 377
15, 0.000, 0.000, 610
16, 0.000, 0.000, 987
17, 0.000, 0.000, 1597
18, 0.000, 0.000, 2584
19, 0.000, 0.000, 4181
20, 0.000, 0.000, 6765
21, 0.000, 0.001, 10946
22, 0.000, 0.001, 17711
23, 0.000, 0.002, 28657
24, 0.000, 0.003, 46368
25, 0.000, 0.004, 75025
26, 0.000, 0.006, 121393
27, 0.000, 0.009, 196418
28, 0.000, 0.014, 317811
29, 0.000, 0.021, 514229
30, 0.000, 0.035, 832040
31, 0.000, 0.056, 1346269
32, 0.000, 0.090, 2178309
33, 0.000, 0.146, 3524578
34, 0.000, 0.235, 5702887
35, 0.000, 0.380, 9227465
36, 0.000, 0.615, 14930352
37, 0.000, 0.999, 24157817
38, 0.000, 1.608, 39088169
39, 0.000, 2.601, 63245986
40, 0.000, 4.213, 102334155
41, 0.000, 6.819, 165580141
42, 0.000, 11.018, 267914296
43, 0.000, 17.822, 433494437
44, 0.000, 28.839, 701408733
45, 0.000, 46.655, 1134903170
46, 0.000, 75.554, 1836311903
